,Gross domestic product 2019,,,,
BRN,133,,Brunei Darussalam," 13,469 ",
NER,134,,Niger," 12,928 ",
BHS,135,,"Bahamas, The"," 12,827 ",
MKD,136,,North Macedonia," 12,695 ",
NIC,137,,Nicaragua," 12,521 ",
NAM,138,,Namibia," 12,367 ",
MDA,139,,Moldova," 11,955 ",g
TCD,140,,Chad," 11,315 ",
GNQ,141,,Equatorial Guinea," 11,027 ",
COG,142,,"Congo, Rep."," 10,821 ",
RWA,143,,Rwanda," 10,122 ",
HTI,144,,Haiti," 8,499 ",
KGZ,145,,Kyrgyz Republic," 8,455 ",
TJK,146,,Tajikistan," 8,117 ",
XKX,147,,Kosovo," 7,926 ",
MWI,148,,Malawi," 7,667 ",
MRT,149,,Mauritania," 7,594 ",
MCO,150,,Monaco," 7,188 ",
IMN,151,,Isle of Man," 6,771 ",
LIE,152,,Liechtenstein," 6,553 ",
GUM,153,,Guam," 5,920 ",
MDV,154,,Maldives," 5,729 ",
FJI,155,,Fiji," 5,536 ",
MNE,156,,Montenegro," 5,495 ",
CYM,157,,Cayman Islands," 5,485 ",
TGO,158,,Togo," 5,460 ",
BRB,159,,Barbados," 5,209 ",
SWZ,160,,Eswatini," 4,405 ",
GUY,161,,Guyana," 4,280 ",
SUR,162,,Suriname," 3,985 ",
SLE,163,,Sierra Leone," 3,941 ",
VIR,164,,Virgin Islands (U.S.)," 3,855 ",
DJI,165,,Djibouti," 3,319 ",
AND,166,,Andorra," 3,154 ",
CUW,167,,Curaçao," 3,128 ",
LBR,168,,Liberia," 3,071 ",
ABW,169,,Aruba," 3,056 ",
GRL,170,,Greenland," 3,052 ",
BDI,171,,Burundi," 3,012 ",
FRO,172,,Faroe Islands," 2,833 ",
LSO,173,,Lesotho," 2,460 ",
BTN,174,,Bhutan," 2,447 ",
CAF,175,,Central African Republic," 2,220 ",
LCA,176,,St. Lucia," 2,122 ",
CPV,177,,Cabo Verde," 1,982 ",
BLZ,178,,Belize," 1,880 ",
GMB,179,,"Gambia, The"," 1,764 ",
ATG,180,,Antigua and Barbuda," 1,728 ",
SYC,181,,Seychelles," 1,699 ",
TLS,182,,Timor-Leste," 1,674 ",
SMR,183,,San Marino," 1,638 ",
SLB,184,,Solomon Islands," 1,425 ",
GNB,185,,Guinea-Bissau," 1,340 ",
MNP,186,,Northern Mariana Islands," 1,323 ",
GRD,187,,Grenada," 1,228 ",
COM,188,,Comoros," 1,186 ",
KNA,189,,St. Kitts and Nevis," 1,051 ",
TCA,190,,Turks and Caicos Islands," 1,022 ",
VUT,191,,Vanuatu, 917 ,
WSM,192,,Samoa, 851 ,
VCT,193,,St. Vincent and the Grenadines, 825 ,
ASM,194,,American Samoa, 636 ,
DMA,195,,Dominica, 596 ,
TON,196,,Tonga, 450 ,
STP,197,,São Tomé and Principe, 429 ,
FSM,198,,"Micronesia, Fed. Sts.", 402 ,
PLW,199,,Palau, 284 ,
MHL,200,,Marshall Islands, 221 ,
KIR,201,,Kiribati, 195 ,
NRU,202,,Nauru, 118 ,
TUV,203,,Tuvalu, 47 ,
BMU,,,Bermuda, -   ,
VGB,,,British Virgin Islands, -   ,
CHI,,,Channel Islands, -   ,
ERI,,,Eritrea, -   ,
PYF,,,French Polynesia, -   ,
GIB,,,Gibraltar, -   ,
PRK,,,"Korea, Dem. People's Rep.", -   ,
NCL,,,New Caledonia, -   ,
SXM,,,Sint Maarten (Dutch part), -   ,
SSD,,,South Sudan, -   ,
MAF,,,St. Martin (French part), -   ,
SYR,,,Syrian Arab Republic, -   ,
VEN,,,"Venezuela, RB", -   ,
SOM,,,Somalia, -   ,



WLD,,,World,"87,751,541",
,,,,#N/A,

EAS,,,East Asia & Pacific,"26,979,806",
ECS,,,Europe & Central Asia,"22,748,789",
LCN,,,Latin America & Caribbean,"5,719,253",
MEA,,,Middle East & North Africa,"3,701,386",
NAC,,,North America,"23,171,055",
SAS,,,South Asia,"3,597,970",
SSF,,,Sub-Saharan Africa,"1,755,011",
LIC,,,Low income,"521,274",
LMC,,,Lower middle income,"6,341,105",
UMC,,,Upper middle income,"25,817,130",
HIC,,,High income,"55,098,717",

,.. Not available.  ,,,,
,"Note: Rankings include only those economies with confirmed GDP estimates. Figures in italics are for
 2018 or 2017, ranking is approximate.",,,,
,"a. Based on data from official statistics of Ukraine and Russian Federation; by relying on these data, the World Bank does not intend to make any judgment on the legal or other status of the territories concerned or to prejudice the final determination of the parties' claims.  b . Based on data officially reported by the National Statistics and  Censuses Institute of Argentina. The International Monetary Fund (IMF) has called on Argentina to adopt measures to address the quality of official GDP and consumer price index data, and issued an updated statement on Argentina’s progress on August 31, 2016: http://www.imf.org/en/News/Articles/2016/08/31/PR16389-Statement-by-the-IMF-Executive-Board-on-Argentina. The World Bank systematically assesses the appropriateness of official exchange rates as conversion factors. For Argentina, an alternative conversion factor has been calculated using a weighted average method for the period from 2012 to 2015.  c. Includes Former Spanish Sahara.  d. Covers mainland Tanzania only.  e. Data are for the area controlled by the government of Cyprus.  f. Excludes Abkhazia and South Ossetia.  g. Excludes Transnistria.",,,,
,GDP data source: http://data.worldbank.org/data-catalog/world-development-indicators,,,,
,GDP projections:  http://data.worldbank.org/data-catalog/global-economic-prospects,,,,





















































































